Molecule,Canonical SMILES,Formula,MW,#Heavy atoms,#Aromatic heavy atoms,Fraction Csp3,#Rotatable bonds,#H-bond acceptors,#H-bond donors,MR,TPSA,iLOGP,XLOGP3,WLOGP,MLOGP,Silicos-IT Log P,Consensus Log P,ESOL Log S,ESOL Solubility (mg/ml),ESOL Solubility (mol/l),ESOL Class,Ali Log S,Ali Solubility (mg/ml),Ali Solubility (mol/l),Ali Class,Silicos-IT LogSw,Silicos-IT Solubility (mg/ml),Silicos-IT Solubility (mol/l),Silicos-IT class,GI absorption,BBB permeant,Pgp substrate,CYP1A2 inhibitor,CYP2C19 inhibitor,CYP2C9 inhibitor,CYP2D6 inhibitor,CYP3A4 inhibitor,log Kp (cm/s),Lipinski #violations,Ghose #violations,Veber #violations,Egan #violations,Muegge #violations,Bioavailability Score,PAINS #alerts,Brenk #alerts,Leadlikeness #violations,Synthetic Accessibility
Molecule 1,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,C24H34O4,386.52,28,6,0.79,1,4,2,109.86,70.67,3.36,3.2,4.24,3.58,3.99,3.68,-4.35,1.75E-02,4.52E-05,Moderately soluble,-4.36,1.70E-02,4.41E-05,Moderately soluble,-5.02,3.68E-03,9.53E-06,Moderately soluble,High,Yes,Yes,No,No,No,No,No,-6.39,0,0,0,0,0,0.55,0,0,1,5.56
Molecule 2,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)C,C26H34O6,442.54,32,6,0.77,3,6,1,118.56,89.27,3.72,3.34,3.8,3.08,3.9,3.57,-4.63,1.04E-02,2.35E-05,Moderately soluble,-4.89,5.68E-03,1.28E-05,Moderately soluble,-4.89,5.64E-03,1.27E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.63,0,0,0,0,0,0.55,0,1,1,6.48
Molecule 3,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3C[C@@H]2c1ccc(=O)oc1)C)C,C24H32O4,384.51,28,6,0.79,1,4,1,107.66,62.97,3.49,3.74,4.26,3.58,4.33,3.88,-4.67,8.17E-03,2.12E-05,Moderately soluble,-4.75,6.77E-03,1.76E-05,Moderately soluble,-5.1,3.05E-03,7.93E-06,Moderately soluble,High,Yes,Yes,Yes,No,No,No,No,-5.99,0,0,0,0,0,0.55,0,1,2,5.98
Molecule 4,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2[C@H](O)C(=O)[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,C24H32O6,416.51,30,6,0.75,1,6,3,111.22,107.97,2.38,1.69,2.39,1.86,2.78,2.22,-3.57,1.12E-01,2.70E-04,Soluble,-3.57,1.12E-01,2.68E-04,Soluble,-4.08,3.47E-02,8.34E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.64,0,0,0,0,0,0.55,0,0,1,5.62
Molecule 5,O[C@H]1CC[C@]2([C@](C1)(O)CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)C,C26H34O7,458.54,33,6,0.77,3,7,2,119.76,109.5,3.5,2.1,2.91,2.28,3.4,2.84,-3.94,5.23E-02,1.14E-04,Soluble,-4.03,4.28E-02,9.34E-05,Moderately soluble,-4.52,1.38E-02,3.00E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.61,0,0,0,0,0,0.55,0,1,1,6.52
Molecule 6,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C(=O)[C@@H](O)[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,C24H32O6,416.51,30,6,0.75,1,6,3,111.22,107.97,2.66,1.73,2.39,1.86,2.78,2.28,-3.59,1.06E-01,2.55E-04,Soluble,-3.61,1.01E-01,2.43E-04,Soluble,-4.08,3.47E-02,8.34E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.61,0,0,0,0,0,0.55,0,0,1,5.65
Molecule 7,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2C(=O)[C@H](O)[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,C24H32O6,416.51,30,6,0.75,1,6,3,111.22,107.97,2.76,1.73,2.39,1.86,2.78,2.3,-3.59,1.06E-01,2.55E-04,Soluble,-3.61,1.01E-01,2.43E-04,Soluble,-4.08,3.47E-02,8.34E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.61,0,0,0,0,0,0.55,0,0,1,5.65
Molecule 8,O=C[C@]12CC[C@@H](C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3CC2c1ccc(=O)oc1)C)O,C24H30O5,398.49,29,6,0.75,2,5,1,107.86,80.04,2.84,2.38,3.44,2.67,4.02,3.07,-3.83,5.88E-02,1.48E-04,Soluble,-3.7,7.92E-02,1.99E-04,Soluble,-4.65,8.90E-03,2.23E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.04,0,0,0,0,0,0.55,0,2,1,5.88
Molecule 9,O=C[C@]12CC[C@@H](C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@]31O[C@@H]3[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)O,C26H32O7,456.53,33,6,0.73,4,7,1,118.76,106.34,3.05,1.98,2.98,2.2,3.6,2.76,-3.79,7.43E-02,1.63E-04,Soluble,-3.84,6.61E-02,1.45E-04,Soluble,-4.44,1.65E-02,3.61E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.68,0,0,0,0,0,0.55,0,2,1,6.41
Molecule 10,O=C[C@@]12CC[C@@H](C[C@@]2(O)CC[C@@H]2[C@@H]1CC[C@]1([C@]32O[C@@H]3[C@@H]([C@@H]1c1ccc(=O)oc1)OC(=O)C)C)O,C26H32O8,472.53,34,6,0.73,4,8,2,119.96,126.57,2.79,1.29,2.09,1.41,3.1,2.14,-3.45,1.68E-01,3.56E-04,Soluble,-3.55,1.34E-01,2.83E-04,Soluble,-4.07,4.02E-02,8.51E-05,Moderately soluble,High,No,Yes,No,Yes,No,Yes,Yes,-8.27,0,0,0,0,0,0.55,0,2,1,6.46
Molecule 11,OC(=O)CCCCCCC(=O)O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2[C@H](O)C(=O)[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,C32H44O9,572.69,41,6,0.75,10,9,3,151.57,151.34,3.61,3.5,4.37,2.53,4.67,3.74,-5.04,5.18E-03,9.04E-06,Moderately soluble,-6.36,2.49E-04,4.35E-07,Poorly soluble,-5.97,6.11E-04,1.07E-06,Moderately soluble,Low,No,Yes,No,No,No,No,Yes,-7.31,1,3,1,1,1,0.11,0,0,2,6.52
Molecule 12,OC[C@]12CC[C@@H](C[C@H]1CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)O,C24H34O5,402.52,29,6,0.79,2,5,3,111.02,90.9,3.02,1.98,3.21,2.75,3.38,2.87,-3.6,1.00E-01,2.49E-04,Soluble,-3.51,1.23E-01,3.06E-04,Soluble,-4.45,1.42E-02,3.54E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.35,0,0,0,0,0,0.55,0,0,1,5.63
Molecule 13,OC1CCC2(C(C1)CCC1C2CCC2(C31OC3C(C2c1ccc(=O)oc1)O)C)C,C24H32O5,400.51,29,6,0.79,1,5,2,108.83,83.2,3.2,2.77,3.23,2.75,3.43,3.08,-4.16,2.80E-02,6.99E-05,Moderately soluble,-4.17,2.69E-02,6.72E-05,Moderately soluble,-4.28,2.09E-02,5.22E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-6.78,0,0,0,0,0,0.55,0,1,1,6.25
Molecule 14,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2[C@H](O)C[C@]2([C@]1(O)CC[C@@H]2c1ccc(=O)oc1)C)C,C24H34O5,402.52,29,6,0.79,1,5,3,111.02,90.9,3.24,2.04,3.21,2.75,3.09,2.87,-3.71,7.89E-02,1.96E-04,Soluble,-3.58,1.07E-01,2.65E-04,Soluble,-4.2,2.53E-02,6.28E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.31,0,0,0,0,0,0.55,0,0,1,5.71
Molecule 15,O=C[C@@]12CC[C@@H](C[C@@]2(O)CC[C@@H]2[C@@H]1CC[C@]1([C@]2(O)CC[C@@H]1c1ccc(=O)oc1)C)O,C24H32O6,416.51,30,6,0.75,2,6,3,111.26,107.97,1.41,1.2,2.54,1.86,3.18,2.04,-3.19,2.66E-01,6.39E-04,Soluble,-3.06,3.60E-01,8.63E-04,Soluble,-4.2,2.62E-02,6.30E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.99,0,0,0,0,0,0.55,0,1,1,5.57
Molecule 16,O[C@H]1CC[C@]2([C@@H](C1)CC[C@@H]1[C@@H]2CC[C@]2([C@]1(O)C[C@@H]([C@@H]2c1ccc(=O)oc1)OC(=O)C)C)C,C26H36O6,444.56,32,6,0.77,3,6,2,120.75,96.97,3.35,2.49,3.78,3.08,3.57,3.25,-4.11,3.49E-02,7.84E-05,Moderately soluble,-4.17,3.00E-02,6.74E-05,Moderately soluble,-4.82,6.81E-03,1.53E-05,Moderately soluble,High,No,Yes,No,No,No,Yes,No,-7.24,0,0,0,0,0,0.55,0,0,1,5.99
